Position Uncertainty Oct 31, 2023 2:36 PM
Time (s)	Distance (cm)	Dist Error (cm)
10.000	15.387	0.239
10.010	15.387	0.239
10.020	15.387	0.239
10.030	15.388	0.239
10.040	15.388	0.239
10.050	15.388	0.239
10.060	15.389	0.239
10.070	15.389	0.239
10.080	15.390	0.239
10.090	15.390	0.239
10.100	15.391	0.239
10.110	15.391	0.239
10.120	15.391	0.239
10.130	15.391	0.239
10.140	15.392	0.239
10.150	15.392	0.239
10.160	15.393	0.239
10.170	15.393	0.239
10.180	15.394	0.239
10.190	15.394	0.239
10.200	15.394	0.239
10.210	15.395	0.239
10.220	15.395	0.239
10.230	15.396	0.239
10.240	15.396	0.239
10.250	15.396	0.239
10.260	15.384	0.239
10.270	15.384	0.239
10.280	15.385	0.239
10.290	15.385	0.239
10.300	15.385	0.239
10.310	15.386	0.239
10.320	15.386	0.239
10.330	15.387	0.239
10.340	15.387	0.239
10.350	15.388	0.239
10.360	15.388	0.239
10.370	15.388	0.239
10.380	15.388	0.239
10.390	15.389	0.239
10.400	15.389	0.239
10.410	15.390	0.239
10.420	15.390	0.239
10.430	15.391	0.239
10.440	15.391	0.239
10.450	15.391	0.239
10.460	15.392	0.239
10.470	15.392	0.239
10.480	15.393	0.239
10.490	15.393	0.239
10.500	15.393	0.239
10.510	15.394	0.239
10.520	15.394	0.239
10.530	15.394	0.239
10.540	15.395	0.239
10.550	15.395	0.239
10.560	15.396	0.239
10.570	15.396	0.239
10.580	15.397	0.239
10.590	15.384	0.239
10.600	15.384	0.239
10.610	15.385	0.239
10.620	15.385	0.239
10.630	15.385	0.239
10.640	15.386	0.239
10.650	15.386	0.239
10.660	15.387	0.239
10.670	15.387	0.239
10.680	15.388	0.239
10.690	15.388	0.239
10.700	15.388	0.239
10.710	15.389	0.239
10.720	15.389	0.239
10.730	15.389	0.239
10.740	15.390	0.239
10.750	15.390	0.239
10.760	15.391	0.239
10.770	15.391	0.239
10.780	15.391	0.239
10.790	15.392	0.239
10.800	15.392	0.239
10.810	15.393	0.239
10.820	15.393	0.239
10.830	15.394	0.239
10.840	15.394	0.239
10.850	15.394	0.239
10.860	15.394	0.239
10.870	15.395	0.239
10.880	15.395	0.239
10.890	15.396	0.239
10.900	15.396	0.239
10.910	15.397	0.239
10.920	15.384	0.239
10.930	15.385	0.239
10.940	15.385	0.239
10.950	15.385	0.239
10.960	15.385	0.239
10.970	15.386	0.239
10.980	15.386	0.239
10.990	15.387	0.239
11.000	15.387	0.239
11.010	15.388	0.239
11.020	15.388	0.239
11.030	15.388	0.239
11.040	15.389	0.239
11.050	15.389	0.239
11.060	15.390	0.239
11.070	15.390	0.239
11.080	15.390	0.239
11.090	15.391	0.239
11.100	15.391	0.239
11.110	15.391	0.239
11.120	15.392	0.239
11.130	15.392	0.239
11.140	15.393	0.239
11.150	15.393	0.239
11.160	15.394	0.239
11.170	15.394	0.239
11.180	15.394	0.239
11.190	15.395	0.239
11.200	15.395	0.239
11.210	15.395	0.239
11.220	15.396	0.239
11.230	15.396	0.239
11.240	15.384	0.239
11.250	15.384	0.239
11.260	15.385	0.239
11.270	15.385	0.239
11.280	15.385	0.239
11.290	15.386	0.239
11.300	15.386	0.239
11.310	15.387	0.239
11.320	15.382	0.239
11.330	15.387	0.239
11.340	15.388	0.239
11.350	15.388	0.239
11.360	15.388	0.239
11.370	15.389	0.239
11.380	15.385	0.239
11.390	15.390	0.239
11.400	15.390	0.239
11.410	15.391	0.239
