Mass Spring Only Mass Position Data Oct 31, 2023 1:49 PM
Time (s)	Distance (cm)	Dist Error (cm)
8.090	23.467	0.239
8.100	23.811	0.239
8.110	24.156	0.239
8.120	24.504	0.239
8.130	24.845	0.239
8.140	25.176	0.239
8.150	25.499	0.239
8.160	25.809	0.239
8.170	26.106	0.239
8.180	26.386	0.239
8.190	26.640	0.239
8.200	26.881	0.239
8.210	27.092	0.239
8.220	27.277	0.239
8.230	27.437	0.239
8.240	27.570	0.239
8.250	27.670	0.239
8.260	27.739	0.239
8.270	27.782	0.239
8.280	27.795	0.239
8.290	27.770	0.239
8.300	27.714	0.239
8.310	27.633	0.239
8.320	27.526	0.239
8.330	27.372	0.239
8.340	27.204	0.239
8.350	27.003	0.239
8.360	26.780	0.239
8.370	26.531	0.239
8.380	26.260	0.239
8.390	25.972	0.239
8.400	25.667	0.239
8.410	25.354	0.239
8.420	25.027	0.239
8.430	24.692	0.239
8.440	24.353	0.239
8.450	24.014	0.239
8.460	23.675	0.239
8.470	23.335	0.239
8.480	23.000	0.239
8.490	22.670	0.239
8.500	22.352	0.239
8.510	22.043	0.239
8.520	21.755	0.239
8.530	21.485	0.239
8.540	21.236	0.239
8.550	21.016	0.239
8.560	20.819	0.239
8.570	20.639	0.239
8.580	20.497	0.239
8.590	20.382	0.239
8.600	20.292	0.239
8.610	20.236	0.239
8.620	20.211	0.239
8.630	20.220	0.239
8.640	20.255	0.239
8.650	20.319	0.239
8.660	20.406	0.239
8.670	20.526	0.239
8.680	20.686	0.239
8.690	20.863	0.239
8.700	21.078	0.239
8.710	21.306	0.239
8.720	21.556	0.239
8.730	21.832	0.239
8.740	22.124	0.239
8.750	22.434	0.239
8.760	22.753	0.239
8.770	23.080	0.239
8.780	23.416	0.239
8.790	23.760	0.239
8.800	24.105	0.239
8.810	24.449	0.239
8.820	24.785	0.239
8.830	25.121	0.239
8.840	25.439	0.239
8.850	25.753	0.239
8.860	26.050	0.239
8.870	26.326	0.239
8.880	26.589	0.239
8.890	26.830	0.239
8.900	27.041	0.239
8.910	27.230	0.239
8.920	27.394	0.239
8.930	27.532	0.239
8.940	27.631	0.239
8.950	27.709	0.239
